sampleID, sampleSize, threadCount, runTime
url_1,50,1,7.3387291431427
url_1,50,2,2.837156295776367
url_1,50,3,4.313177585601807
url_1,50,4,2.4831578731536865
url_1,50,5,1.041663646697998
url_1,50,6,1.0198209285736084
url_1,50,7,1.3059773445129395
url_1,50,8,2.8557770252227783
url_1,50,9,0.7489087581634521
url_1,50,10,0.8875925540924072
url_1,50,11,0.7972099781036377
url_1,50,12,0.9523563385009766
url_1,50,13,1.935504674911499
url_1,50,14,0.7568497657775879
url_1,50,15,0.6837959289550781
url_1,50,16,0.7994101047515869
url_1,50,17,0.6248733997344971
url_1,50,18,0.49517345428466797
url_1,50,19,0.6514983177185059
url_1,50,20,0.5998878479003906
url_1,50,21,1.3414676189422607
url_1,50,22,0.7355060577392578
url_1,50,23,1.2572691440582275
url_1,50,24,0.7092695236206055
url_1,50,25,0.4601786136627197
url_1,50,26,0.6444919109344482
url_1,50,27,0.46738123893737793
url_1,50,28,0.5997788906097412
url_1,50,29,0.6700069904327393
url_1,50,30,0.6001768112182617
url_1,50,31,0.5238947868347168
url_1,50,32,0.5418438911437988
url_1,50,33,0.5977256298065186
url_1,50,34,0.6933283805847168
url_1,50,35,0.6052477359771729
url_1,50,36,0.7101037502288818
url_1,50,37,0.9986627101898193
url_1,50,38,1.557494878768921
url_1,50,39,0.769080400466919
url_1,50,40,0.6099338531494141
url_1,50,41,0.7059807777404785
url_1,50,42,0.7420148849487305
url_1,50,43,0.6667790412902832
url_1,50,44,0.6921498775482178
url_1,50,45,0.7260584831237793
url_1,50,46,0.8688290119171143
url_1,50,47,0.7041151523590088
url_1,50,48,0.7171800136566162
url_1,50,49,0.683173418045044
url_1,50,50,0.712094783782959
url_2,50,1,4.667190074920654
url_2,50,2,2.2491297721862793
url_2,50,3,1.8250887393951416
url_2,50,4,15.70107889175415
url_2,50,5,2.635035753250122
url_2,50,6,1.6315820217132568
url_2,50,7,1.1424729824066162
url_2,50,8,1.037095308303833
url_2,50,9,0.7792940139770508
url_2,50,10,0.6761744022369385
url_2,50,11,0.6982674598693848
url_2,50,12,0.5717098712921143
url_2,50,13,0.6121854782104492
url_2,50,14,0.7230677604675293
url_2,50,15,0.8666820526123047
url_2,50,16,1.0222666263580322
url_2,50,17,0.7001292705535889
url_2,50,18,0.7072286605834961
url_2,50,19,0.728165864944458
url_2,50,20,1.5621137619018555
url_2,50,21,1.1846449375152588
url_2,50,22,0.56349778175354
url_2,50,23,0.6825168132781982
url_2,50,24,0.5555155277252197
url_2,50,25,0.5719661712646484
url_2,50,26,0.7988030910491943
url_2,50,27,1.322984218597412
url_2,50,28,1.23753023147583
url_2,50,29,0.6059606075286865
url_2,50,30,0.5667855739593506
url_2,50,31,0.6092896461486816
url_2,50,32,0.6233315467834473
url_2,50,33,0.4960463047027588
url_2,50,34,0.5362882614135742
url_2,50,35,0.7015688419342041
url_2,50,36,0.7471053600311279
url_2,50,37,0.560863733291626
url_2,50,38,0.4859139919281006
url_2,50,39,0.502655029296875
url_2,50,40,0.4916865825653076
url_2,50,41,0.7709383964538574
url_2,50,42,0.41588830947875977
url_2,50,43,0.45441532135009766
url_2,50,44,0.8310229778289795
url_2,50,45,0.5987002849578857
url_2,50,46,0.6131134033203125
url_2,50,47,0.5506877899169922
url_2,50,48,0.8270978927612305
url_2,50,49,0.6925373077392578
url_2,50,50,0.6064584255218506
url_3,50,1,6.121166944503784
url_3,50,2,2.54266357421875
url_3,50,3,1.8130474090576172
url_3,50,4,1.3488993644714355
url_3,50,5,1.2283360958099365
url_3,50,6,0.8781473636627197
url_3,50,7,1.0463929176330566
url_3,50,8,2.361182928085327
url_3,50,9,0.8162784576416016
url_3,50,10,0.8085134029388428
url_3,50,11,0.8645710945129395
url_3,50,12,0.842747688293457
url_3,50,13,0.5367670059204102
url_3,50,14,0.6314091682434082
url_3,50,15,0.7114543914794922
url_3,50,16,0.5794510841369629
url_3,50,17,0.5634946823120117
url_3,50,18,1.660107135772705
url_3,50,19,0.8545379638671875
url_3,50,20,2.186439037322998
url_3,50,21,0.9404194355010986
url_3,50,22,0.6786613464355469
url_3,50,23,0.6728577613830566
url_3,50,24,0.9117660522460938
url_3,50,25,0.5230891704559326
url_3,50,26,0.4924318790435791
url_3,50,27,0.5926764011383057
url_3,50,28,0.5228629112243652
url_3,50,29,0.5646822452545166
url_3,50,30,0.5534873008728027
url_3,50,31,0.5375628471374512
url_3,50,32,1.7062709331512451
url_3,50,33,1.1152467727661133
url_3,50,34,0.4470517635345459
url_3,50,35,3.2919580936431885
url_3,50,36,2.127081871032715
url_3,50,37,2.6215665340423584
url_3,50,38,3.2984161376953125
url_3,50,39,0.6682469844818115
url_3,50,40,0.5417566299438477
url_3,50,41,0.7129290103912354
url_3,50,42,0.6639106273651123
url_3,50,43,0.5335328578948975
url_3,50,44,0.6410326957702637
url_3,50,45,0.486466646194458
url_3,50,46,0.5536272525787354
url_3,50,47,0.6167449951171875
url_3,50,48,0.4621429443359375
url_3,50,49,0.5822813510894775
url_3,50,50,0.7675747871398926
url_4,50,1,9.391216039657593
url_4,50,2,2.7050845623016357
url_4,50,3,2.1969988346099854
url_4,50,4,1.4927573204040527
url_4,50,5,1.3355274200439453
url_4,50,6,1.378692865371704
url_4,50,7,1.8543965816497803
url_4,50,8,2.1678524017333984
url_4,50,9,2.1663033962249756
url_4,50,10,0.872856616973877
url_4,50,11,0.8223533630371094
url_4,50,12,0.6740128993988037
url_4,50,13,1.2852163314819336
url_4,50,14,0.6514778137207031
url_4,50,15,0.8546769618988037
url_4,50,16,0.8158519268035889
url_4,50,17,0.8241651058197021
url_4,50,18,0.6471524238586426
url_4,50,19,0.4450490474700928
url_4,50,20,0.8968698978424072
url_4,50,21,0.701768159866333
url_4,50,22,0.5890414714813232
url_4,50,23,0.48107004165649414
url_4,50,24,0.7120485305786133
url_4,50,25,21.48520588874817
url_4,50,26,1.1164276599884033
url_4,50,27,3.6129703521728516
url_4,50,28,0.6833007335662842
url_4,50,29,0.714562177658081
url_4,50,30,0.6408734321594238
url_4,50,31,1.1583938598632812
url_4,50,32,0.6333115100860596
url_4,50,33,0.618607759475708
url_4,50,34,0.6127536296844482
url_4,50,35,0.8952803611755371
url_4,50,36,0.7357923984527588
url_4,50,37,0.6250572204589844
url_4,50,38,0.6405923366546631
url_4,50,39,0.6153848171234131
url_4,50,40,0.5597171783447266
url_4,50,41,0.5405521392822266
url_4,50,42,0.4549751281738281
url_4,50,43,0.8341324329376221
url_4,50,44,0.4520986080169678
url_4,50,45,0.40595436096191406
url_4,50,46,21.31067395210266
