sampleID, sampleSize, threadCount, runTime
IO_1,50,1,0.3835124969482422
IO_1,50,2,0.06383180618286133
IO_1,50,3,0.04493403434753418
IO_1,50,4,0.056789398193359375
IO_1,50,5,0.05285954475402832
IO_1,50,6,0.05887293815612793
IO_1,50,7,0.06579422950744629
IO_1,50,8,0.06019091606140137
IO_1,50,9,0.09941315650939941
IO_1,50,10,0.04590106010437012
IO_1,50,11,0.055873870849609375
IO_1,50,12,0.04487919807434082
IO_1,50,13,0.052858591079711914
IO_1,50,14,0.04188728332519531
IO_1,50,15,0.04488086700439453
IO_1,50,16,0.05186152458190918
IO_1,50,17,0.051860809326171875
IO_1,50,18,0.08477306365966797
IO_1,50,19,0.05884218215942383
IO_1,50,20,0.04488015174865723
IO_1,50,21,0.0498659610748291
IO_1,50,22,0.05684804916381836
IO_1,50,23,0.06382918357849121
IO_1,50,24,0.04986572265625
IO_1,50,25,0.05005526542663574
IO_1,50,26,0.041887521743774414
IO_1,50,27,0.054856061935424805
IO_1,50,28,0.05086517333984375
IO_1,50,29,0.0529329776763916
IO_1,50,30,0.045801639556884766
IO_1,50,31,0.06013941764831543
IO_1,50,32,0.04388904571533203
IO_1,50,33,0.08804583549499512
IO_1,50,34,0.094482421875
IO_1,50,35,0.04787015914916992
IO_1,50,36,0.05784487724304199
IO_1,50,37,0.04787302017211914
IO_1,50,38,0.054852962493896484
IO_1,50,39,0.04388284683227539
IO_1,50,40,0.05385756492614746
IO_1,50,41,0.046872854232788086
IO_1,50,42,0.058844804763793945
IO_1,50,43,0.04890131950378418
IO_1,50,44,0.058808326721191406
IO_1,50,45,0.06682276725769043
IO_1,50,46,0.05385541915893555
IO_1,50,47,0.05287003517150879
IO_1,50,48,0.05284714698791504
IO_1,50,49,0.05684781074523926
IO_1,50,50,0.05186104774475098
IO_2,50,1,0.5350232124328613
IO_2,50,2,0.06436038017272949
IO_2,50,3,0.048952341079711914
IO_2,50,4,0.0489351749420166
IO_2,50,5,0.04887056350708008
IO_2,50,6,0.04449653625488281
IO_2,50,7,0.04794907569885254
IO_2,50,8,0.04787278175354004
IO_2,50,9,0.052904367446899414
IO_2,50,10,0.05984759330749512
IO_2,50,11,0.0508570671081543
IO_2,50,12,0.055852651596069336
IO_2,50,13,0.05434274673461914
IO_2,50,14,0.04886960983276367
IO_2,50,15,0.08377647399902344
IO_2,50,16,0.057845354080200195
IO_2,50,17,0.05684804916381836
IO_2,50,18,0.046874046325683594
IO_2,50,19,0.06353306770324707
IO_2,50,20,0.041887760162353516
IO_2,50,21,0.04887032508850098
IO_2,50,22,0.04188728332519531
IO_2,50,23,0.0548553466796875
IO_2,50,24,0.24759459495544434
IO_2,50,25,0.060813188552856445
IO_2,50,26,0.04787468910217285
IO_2,50,27,0.05086255073547363
IO_2,50,28,0.045876502990722656
IO_2,50,29,0.05684852600097656
IO_2,50,30,0.04587674140930176
IO_2,50,31,0.04886960983276367
IO_2,50,32,0.050864458084106445
IO_2,50,33,0.04886984825134277
IO_2,50,34,0.04879426956176758
IO_2,50,35,0.047872066497802734
IO_2,50,36,0.053856849670410156
IO_2,50,37,0.04587674140930176
IO_2,50,38,0.05086565017700195
IO_2,50,39,0.061940670013427734
IO_2,50,40,0.056847333908081055
IO_2,50,41,0.04886913299560547
IO_2,50,42,0.05385947227478027
IO_2,50,43,0.05086040496826172
IO_2,50,44,0.05784463882446289
IO_2,50,45,0.05385756492614746
IO_2,50,46,0.09175419807434082
IO_2,50,47,0.05784416198730469
IO_2,50,48,0.055850982666015625
IO_2,50,49,0.0548553466796875
IO_2,50,50,0.05086374282836914
IO_3,50,1,0.38704895973205566
IO_3,50,2,0.06564068794250488
IO_3,50,3,0.047858238220214844
IO_3,50,4,0.05385756492614746
IO_3,50,5,0.10131382942199707
IO_3,50,6,0.06582379341125488
IO_3,50,7,0.05086326599121094
IO_3,50,8,0.04787254333496094
IO_3,50,9,0.050885915756225586
IO_3,50,10,0.05482363700866699
IO_3,50,11,0.04688000679016113
IO_3,50,12,0.04714703559875488
IO_3,50,13,0.05360841751098633
IO_3,50,14,0.06183481216430664
IO_3,50,15,0.07055354118347168
IO_3,50,16,0.05585002899169922
IO_3,50,17,0.05487489700317383
IO_3,50,18,0.07577657699584961
IO_3,50,19,0.11269855499267578
IO_3,50,20,0.06232643127441406
IO_3,50,21,0.060834646224975586
IO_3,50,22,0.04487729072570801
IO_3,50,23,0.04686474800109863
IO_3,50,24,0.05684924125671387
IO_3,50,25,0.050863027572631836
IO_3,50,26,0.048870086669921875
IO_3,50,27,0.060837745666503906
IO_3,50,28,0.06981325149536133
IO_3,50,29,0.05186200141906738
IO_3,50,30,0.05485248565673828
IO_3,50,31,0.05186152458190918
IO_3,50,32,0.05186152458190918
IO_3,50,33,0.04886651039123535
IO_3,50,34,0.05186200141906738
IO_3,50,35,0.05584287643432617
IO_3,50,36,0.05086183547973633
IO_3,50,37,0.16372394561767578
IO_3,50,38,0.05884122848510742
IO_3,50,39,0.052864789962768555
IO_3,50,40,0.05287051200866699
IO_3,50,41,0.04886984825134277
IO_3,50,42,0.047872304916381836
IO_3,50,43,0.04886889457702637
IO_3,50,44,0.05585074424743652
IO_3,50,45,0.05086350440979004
IO_3,50,46,0.04886984825134277
IO_3,50,47,0.06183481216430664
IO_3,50,48,0.04887127876281738
IO_3,50,49,0.052858591079711914
IO_3,50,50,0.05086469650268555
IO_4,50,1,0.3917388916015625
IO_4,50,2,0.10371875762939453
IO_4,50,3,0.05440783500671387
IO_4,50,4,0.046404361724853516
IO_4,50,5,0.04768776893615723
IO_4,50,6,0.04587888717651367
IO_4,50,7,0.0499420166015625
IO_4,50,8,0.0467991828918457
IO_4,50,9,0.04819512367248535
IO_4,50,10,0.12862658500671387
IO_4,50,11,0.11967921257019043
IO_4,50,12,0.05385589599609375
IO_4,50,13,0.07081031799316406
IO_4,50,14,0.049866437911987305
IO_4,50,15,0.050864219665527344
IO_4,50,16,0.04990696907043457
IO_4,50,17,0.05680727958679199
IO_4,50,18,0.06690382957458496
IO_4,50,19,0.06873369216918945
IO_4,50,20,0.060837745666503906
IO_4,50,21,0.06215667724609375
IO_4,50,22,0.11568951606750488
IO_4,50,23,0.20844578742980957
IO_4,50,24,0.06882071495056152
IO_4,50,25,0.10057425498962402
IO_4,50,26,0.09372544288635254
IO_4,50,27,0.05983996391296387
IO_4,50,28,0.05585050582885742
IO_4,50,29,0.04986572265625
IO_4,50,30,0.057843923568725586
IO_4,50,31,0.04886984825134277
